Country,City,Date,Hotel_stars,Price,Duration
Turkija,Alanija,2024-04-07,5,739,7
Egiptas,Hurgada,2024-03-23,5,1385,7
Ispanija,Tenerifė,2024-04-09,2,915,7
Malta,Sliema kurortas,2024-03-01,4,576,7
Graikija,Kreta,2024-05-07,4,626,7
Turkija,Alanija,2024-04-16,5,675,7
Šri Lanka,Galė,2024-03-20,5,1681,10
Graikija,Kreta,2024-05-03,2,545,7
Albanija,Duresis,2024-05-30,4,709,7
Turkija,Sidė,2024-04-10,5,680,7
Italija,Riminis,2024-05-30,4,849,7
Turkija,Sidė,2024-04-24,5,612,7
Graikija,Zakintas,2024-05-28,4,999,7
Kroatija,Dubrovnikas,2024-05-20,4,1179,7
Tunisas,Monastyras,2024-05-03,4,519,7
Graikija,Kreta,2024-05-05,5,715,7
Turkija,Alanija,2024-04-09,4,481,7
Juodkalnija,Tivatas,2024-05-23,5,712,7
Jungtinė Karalystė,Londonas,2024-03-30,3,287,2
Turkija,Alanija,2024-04-06,5,589,7
Graikija,Kreta,2024-05-07,4,806,7
Graikija,Zakintas,2024-05-28,4,869,7
Tunisas,Enfida,2024-04-30,4,595,7
Ispanija,Tenerifė,2024-03-06,4,1265,7
Turkija,Sidė,2024-04-08,5,624,7
Tunisas,Monastyras,2024-04-30,4,583,7
Turkija,Kemeras,2024-04-17,5,589,7
Ispanija,Tenerifė,2024-04-23,4,1239,7
Graikija,Taso sala,2024-05-26,3,719,7
Turkija,Sidė,2024-04-17,5,1141,7
Ispanija,Tenerifė,2024-03-22,3,1231,7
Juodkalnija,Tivatas,2024-05-19,4,717,7
Graikija,Kreta,2024-05-03,5,726,7
Turkija,Sidė,2024-04-22,5,636,7
Graikija,Kreta,2024-05-02,5,685,7
Turkija,Sidė,2024-04-22,4,619,7
Tunisas,Susas,2024-05-07,5,765,7
Tanzanija,Zanzibaras,2024-03-16,4,1429,11
Graikija,Kreta,2024-05-02,5,813,7
Turkija,Belekas,2024-04-22,5,915,7
Graikija,Kreta,2024-05-02,4,580,7
Juodkalnija,Budva,2024-05-27,4,837,7
Ispanija,Tenerifė,2024-04-23,4,1399,7
Juodkalnija,Tivatas,2024-05-30,4,806,7
Turkija,Kemeras,2024-04-10,4,554,7
Ispanija,Tenerifė,2024-04-09,5,1549,7
Portugalija,Madeira,2024-03-11,4,1041,7
Turkija,Alanija,2024-04-10,5,785,7
Juodkalnija,Tivatas,2024-05-30,3,679,7
Graikija,Kreta,2024-05-13,4,759,7
Turkija,Alanija,2024-05-02,5,610,7
Graikija,Kreta,2024-04-27,4,739,7
Juodkalnija,Tivatas,2024-05-13,4,979,7
Graikija,Zakintas,2024-05-21,4,829,7
Graikija,Kreta,2024-05-05,4,613,7
Graikija,Kreta,2024-04-30,5,1085,7
Graikija,Zakintas,2024-05-21,4,749,7
Turkija,Alanija,2024-04-12,5,574,7
Turkija,Alanija,2024-05-01,4,555,7
Turkija,Kemeras,2024-05-27,5,1016,7
Turkija,Alanija,2024-04-12,5,556,7
Juodkalnija,Tivatas,2024-05-13,5,909,7
Juodkalnija,Tivatas,2024-05-16,4,745,7
Graikija,Kreta,2024-05-04,5,706,7
Juodkalnija,Tivatas,2024-05-16,4,719,7
Portugalija,Madeira,2024-04-15,3,969,7
Ispanija,Tenerifė,2024-04-02,4,1539,7
Turkija,Kemeras,2024-04-03,4,605,7
Graikija,Kreta,2024-05-07,4,583,7
Portugalija,Madeira,2024-04-29,3,859,7
Graikija,Rodo sala,2024-05-08,3,719,7
Tunisas,Enfida,2024-04-23,5,665,7
Ispanija,Maljorka,2024-05-04,3,359,3
Ispanija,Tenerifė,2024-03-20,3,1296,7
Portugalija,Madeira,2024-03-25,5,1459,7
Turkija,Alanija,2024-04-10,5,1085,7
